OBJECTID,Shape,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
23,"(40.60959192100006, -74.14850124299994)",NYPL79,NYPL,Other,212-340-0903, , ,718-494-1642, ,Todt Hill-Westerleigh Branch,2550,Victory Blvd.,Staten Island,10314,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Todt Hill-Westerleigh Branch",2550 Victory Blvd.,"Staten Island, NY 10314"
24,"(40.63452027900007, -74.1148370059999)",NYPL81,NYPL,Other,212-340-0903, , ,718-442-1416, ,West New Brighton Branch,976,Castleton Avenue,Staten Island,10310,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West New Brighton Branch",976 Castleton Avenue,"Staten Island, NY 10310"
25,"(40.76614331600007, -73.93017685699994)",DOE_DYCD94,DOE,21st Century,212-374-5472,Jacob A. Riis Neighborhood Settlement House,111729398,718-784-7447,30Q126,Albert Shanker School of Performing Arts,31-51,21st Street,Queens,11106,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Jacob A. Riis Neighborhood Settlement House,31-51 21st Street,"Queens, NY 11106"
26,"(40.65373189700006, -73.8939732199999)",DOE_DYCD46,DOE,21st Century,212-374-5472,Groundwork, ,212-346-2200,19K260,PS 260,875,Williams Avenue,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,875 Williams Avenue,"Brooklyn, NY 11207"
27,"(40.65522944300005, -73.88651163299994)",DOE_DYCD48,DOE,21st Century,212-374-5472,Groundwork, ,212-346-2200,19K306,PS 306,970,Vermont Street,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,970 Vermont Street,"Brooklyn, NY 11207"
28,"(40.666195092000066, -73.87635293999995)",DOE_DYCD44,DOE,21st Century,212-374-5472,Groundwork, ,212-346-2200,19K202,PS 202,982,Hegeman Ave,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,982 Hegeman Ave,"Brooklyn, NY 11208"
29,"(40.73738436900004, -73.86810712899995)",DOE_DYCD51,DOE,21st Century,212-374-5472,Groundwork, ,212-346-2200,24Q013,PS 13,55-01,94th Street,Queens,11373,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,55-01 94th Street,"Queens, NY 11373"
30,"(40.68937585700007, -73.87309551399994)",DOE_DYCD2,DOE,21st Century,212-374-5472,Cypress Hills Local Development,112683663,718-647-2800,19K007,PS 7,858,Jamaica Avenue,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Cypress Hills Local Dev.,858 Jamaica Avenue,"Brooklyn, NY 11208"
31,"(40.80635627300006, -73.92146832799995)",DOE_DYCD28,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X043,PS 43,165,Brown Place,Bronx,10454,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,165 Brown Place,"Bronx, NY 10454"
32,"(40.80933881200008, -73.91991926999992)",DOE_DYCD29,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X220,PS 220,468,East 140th Street,Bronx,10454,School,0,unknown,yes,unknown,unknown,Yes,yes,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,468 East 140th Street,"Bronx, NY 10454"
33,"(40.71820509300005, -73.98407245099992)",DOE_DYCD31,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M142,PS 142,100,Attorney Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Attorney Street,"Manhattan, NY 10002"
34,"(40.70926232700003, -74.01234790199993)",DOE_DYCD33,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,02M489,HS of Economic & Finance,100,Trinity Place,Manhattan,10006,School,0,unknown,yes,unknown,unknown,No,No,yes,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Trinity Place,"Manhattan, NY 10006"
35,"(40.72015569900009, -73.98597322499995)",DOE_DYCD32,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M509,Marta Valle HS,145,Stanton Street,Manhattan,10002,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,145 Stanton Street,"Manhattan, NY 10002"
36,"(40.723712711000076, -73.98176058599995)",DOE_DYCD30,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M064,PS 64,600,East 6th Street,Manhattan,10009,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,600 East 6th Street,"Manhattan, NY 10009"
37,"(40.67627526500007, -73.8798989249999)",DOE_DYCD50,DOE,21st Century,212-374-5472,Groundwork, ,212-346-2200,19K345,PS 345,111,Berriman Street,Brooklyn,11208,School,0,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,111 Berriman Street,"Brooklyn, NY 11208"
38,"(40.66556507100006, -73.8976258909999)",DOE_DYCD43,DOE,21st Century,212-374-5472,Groundwork, ,212-346-2200,19K174,PS 174,574,Dumont Avenue,Brooklyn,11207,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,574 Dumont Avenue,"Brooklyn, NY 11207"
39,"(40.64291756200004, -74.07909194799993)",DOE_DYCD323,DOE,TASC,212-374-5472,New York Center for Interpersonal Development,237085239,718-815-4557,31R600,McKee HS,290,Saint Marks Place,Staten Island,10301,School,150,No,Yes,No,No,No,No,Yes,Full-time,150,yes,yes,yes,TASC - NY Center for Interpersonal Dev.,290 Saint Marks Place,"Staten Island, NY 10301"
40,"(40.817563577000044, -73.9525834829999)",DOE_DYCD298,DOE,TASC,212-374-5472,Harlem Dowling West Side Center for Children & Family Services,133030378,212-749-3656,05M161,PS 161,499,West 133rd Street,Manhattan,10027,School,250,No,Yes,No,No,Yes,No,No,Full-time,250,yes,yes,yes,TASC - Harlem Dowling,499 West 133rd Street,"Manhattan, NY 10027"
41,"(40.82738684600008, -73.90074343099991)",DOE_DYCD308,DOE,TASC,212-374-5472,Kips Bay Boys & Girls Club,131623850,718-893-8600,12X158,IS 158/CS 212,800,Home Street,Bronx,10456,School,250,No,Yes,No,No,No,Yes,No,Full-time,250,yes,yes,yes,TASC - Kips Bay Boys & Girls Club,800 Home Street,"Bronx, NY 10456"
42,"(40.73466486700005, -73.89673040399992)",DOE_DYCD314,DOE,TASC,212-374-5472,Maspeth Town Hall,237259702,718-335-6049,24Q229,PS 229,67-25,51st Road,Queens,11377,School,430,No,Yes,No,No,Yes,No,No,Full-time,430,yes,yes,yes,TASC - Maspeth Town Hall,67-25 51st Road,"Queens, NY 11377"
43,"(40.84430027800005, -73.82789341199992)",NYPL56,NYPL,Other,212-340-0903, , ,718-792-6744, ,Pelham Bay Branch,3060,Middletown Road,Bronx,10461,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Pelham Bay Branch",3060 Middletown Road,"Bronx, NY 10461"
44,"(40.729876011000044, -74.0053448509999)",NYPL12,NYPL,Other,212-340-0903, , ,212-929-0815, ,Early Childhood Resource & Information Ctr.,66,Leroy Street,Manhattan,10014,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Early Childhood Resource and Information Center",66 Leroy Street,"Manhattan, NY 10014"
45,"(40.73810993300009, -73.9820276669999)",NYPL13,NYPL,Other,212-340-0903, , ,212-679-2645, ,Epiphany Branch,228,East 23rd Street,Manhattan,10010,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Epiphany Branch",228 East 23rd Street,"Manhattan, NY 10010"
46,"(40.84788887700006, -73.9338600989999)",NYPL14,NYPL,Other,212-340-0903, , ,212-927-3533, ,Fort Washington Branch,535,West 179th Street,Manhattan,10033,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Fort Washington Branch",535 West 179th Street,"Manhattan, NY 10033"
47,"(40.813779846000045, -73.9570774849999)",NYPL15,NYPL,Other,212-340-0903, , ,212-662-9727, ,George Bruce Branch,518,West 125th Street,Manhattan,10027,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, George Bruce Branch",518 West 125th Street,"Manhattan, NY 10027"
48,"(40.71932896900006, -73.97960089299994)",NYPL16,NYPL,Other,212-340-0903, , ,212-673-2290, ,Hamilton Fish Park Branch,415,East Houston Street,Manhattan,10002,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Fish Park Branch",415 East Houston Street,"Manhattan, NY 10002"
49,"(40.82568630600008, -73.94802632099993)",NYPL17,NYPL,Other,212-340-0903, , ,212-926-2147, ,Hamilton Grange Branch,503,West 145th Street,Manhattan,10031,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Grange Branch",503 West 145th Street,"Manhattan, NY 10031"
50,"(40.806198693000056, -73.94330630199994)",NYPL18,NYPL,Other,212-340-0903, , ,212-348-5620, ,Harlem Branch,9,West 124th Street,Manhattan,10027,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Harlem Branch",9 West 124th Street,"Manhattan, NY 10027"
51,"(40.729876011000044, -74.0053448509999)",NYPL19,NYPL,Other,212-340-0903, , ,212-243-6876, ,Hudson Park Branch,66,Leroy Street,Manhattan,10014,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hudson Park Branch",66 Leroy Street,"Manhattan, NY 10014"
52,"(40.86574058300005, -73.92586514699991)",NYPL20,NYPL,Other,212-340-0903, , ,212-942-2445, ,Inwood Branch,4790,Broadway,Manhattan,10034,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Inwood Branch",4790 Broadway,"Manhattan, NY 10034"
53,"(40.73460093700004, -73.99918530899993)",NYPL21,NYPL,Other,212-340-0903, , ,212-243-4334, ,Jefferson Market Regional Branch,425,Ave. of the Americas,Manhattan,10011,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Jefferson Market Regional Branch",425 Ave. of the Americas,"Manhattan, NY 10011"
54,"(40.74381499000009, -73.97993262699993)",NYPL22,NYPL,Other,212-340-0903, , ,212-683-2520, ,Kips Bay Branch,446,Third Avenue,Manhattan,10016,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Kips Bay Branch",446 Third Avenue,"Manhattan, NY 10016"
55,"(40.82669535100007, -73.93584978799993)",NYPL23,NYPL,Other,212-340-0903, , ,212-281-4900, ,Macomb's Bridge Branch,2650,Seventh Avenue,Manhattan,10039,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Macomb's Bridge Branch",2650 Seventh Avenue,"Manhattan, NY 10039"
56,"(40.80606476500009, -73.96479319399992)",NYPL24,NYPL,Other,212-340-0903, , ,212-864-2530, ,Morningside Heights Branch,2900,Broadway,Manhattan,10025,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Morningside Heights Branch",2900 Broadway,"Manhattan, NY 10025"
57,"(40.74452755700008, -73.9959665909999)",NYPL25,NYPL,Other,212-340-0903, , ,212-924-1585, ,Muhlenberg Branch,209,West 23rd Street,Manhattan,10011,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Muhlenberg Branch",209 West 23rd Street,"Manhattan, NY 10011"
58,"(40.71361865800009, -74.0078613629999)",NYPL26,NYPL,Other,212-340-0903, , ,212-732-8186, ,New Amsterdam Branch,9,Murray Street,Manhattan,10007,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Amsterdam Branch",9 Murray Street,"Manhattan, NY 10007"
59,"(40.72892955600008, -73.98778658399993)",NYPL27,NYPL,Other,212-340-0903, , ,212-674-0947, ,Ottendorfer Branch,135,Second Avenue,Manhattan,10003,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Ottendorfer Branch",135 Second Avenue,"Manhattan, NY 10003"
60,"(40.77416139600007, -73.98425119399991)",NYPL28,NYPL,Other,212-340-0903, , ,212-870-1810, ,Riverside Branch,127,Amsterdam Avenue,Manhattan,10023,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverside Branch",127 Amsterdam Avenue,"Manhattan, NY 10023"
61,"(40.76124060900008, -73.95020093199992)",NYPL29,NYPL,Other,212-340-0903, , ,212-308-6243, ,Roosevelt Island Branch,524,Main Street,Manhattan,10044,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Roosevelt Island Branch",524 Main Street,"Manhattan, NY 10044"
62,"(40.71447746800004, -73.98853750299992)",NYPL30,NYPL,Other,212-340-0903, , ,212-477-6770, ,Seward Park Branch,192,East Broadway,Manhattan,10002,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Seward Park Branch",192 East Broadway,"Manhattan, NY 10002"
63,"(40.78480725600008, -73.97743226299991)",NYPL31,NYPL,Other,212-340-0903, , ,212-877-4380, ,St. Agnes Branch,444,Amsterdam Avenue,Manhattan,10024,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. Agnes Branch",444 Amsterdam Avenue,"Manhattan, NY 10024"
64,"(40.72730434500005, -73.98039415199992)",NYPL32,NYPL,Other,212-340-0903, , ,212-228-4747, ,Tompkins Sqare Branch,331,East Tenth Street,Manhattan,10009,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tompkins Sqare Branch",331 East Tenth Street,"Manhattan, NY 10009"
65,"(40.83452258700004, -73.93968067499992)",NYPL33,NYPL,Other,212-340-0903, , ,212-923-6054, ,Washington Heights Branch,1000,St. Nicholas Avenue,Manhattan,10032,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Washington Heights Branch",1000 St. Nicholas Avenue,"Manhattan, NY 10032"
66,"(40.77065557800006, -73.95137806399993)",NYPL34,NYPL,Other,212-340-0903, , ,212-288-5049, ,Webster Branch,1465,York Avenue,Manhattan,10021,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Webster Branch",1465 York Avenue,"Manhattan, NY 10021"
67,"(40.77360545000005, -73.95643413399995)",NYPL35,NYPL,Other,212-340-0903, , ,212-744-5824, ,Yorkville Branch,222,East 79th Street,Manhattan,10021,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Yorkville Branch",222 East 79th Street,"Manhattan, NY 10021"
68,"(40.866825574000075, -73.8632051909999)",NYPL36,NYPL,Other,212-340-0903, , ,718-881-4240, ,Allerton Branch,2740,Barnes Avenue,Bronx,10467,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Allerton Branch",2740 Barnes Avenue,"Bronx, NY 10467"
69,"(40.87049292800003, -73.8284469539999)",NYPL37,NYPL,Other,212-340-0903, , ,718-379-6700, ,Baychester Regional Branch,2049,Asch Loop North,Bronx,10475,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Baychester Regional Branch",2049 Asch Loop North,"Bronx, NY 10475"
70,"(40.854339132000064, -73.88792012699992)",NYPL38,NYPL,Other,212-340-0903, , ,718-933-6410, ,Belmont Regional Branch,610,East 186th Street,Bronx,10458,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Belmont Regional Branch",610 East 186th Street,"Bronx, NY 10458"
71,"(40.82662138400008, -73.85020400999991)",NYPL39,NYPL,Other,212-340-0903, , ,718-824-3838, ,Castle Hill Branch,947,Castle Hill Avenue,Bronx,10473,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Castle Hill Branch",947 Castle Hill Avenue,"Bronx, NY 10473"
72,"(40.84769077000004, -73.7863467489999)",NYPL40,NYPL,Other,212-340-0903, , ,718-885-1703, ,City Island Branch,320,City Island Avenue,Bronx,10464,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, City Island Branch",320 City Island Avenue,"Bronx, NY 10464"
73,"(40.82998856100005, -73.87505371499992)",NYPL41,NYPL,Other,212-340-0903, , ,718-842-1235, ,Clason's Point Branch,1215,Morrison Avenue,Bronx,10472,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Clason's Point Branch",1215 Morrison Avenue,"Bronx, NY 10472"
74,"(40.87017860600008, -73.84505115899992)",NYPL42,NYPL,Other,212-340-0903, , ,718-653-3292, ,Eastchester Branch,1385,East Gun Hill Road,Bronx,10469,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Eastchester Branch",1385 East Gun Hill Road,"Bronx, NY 10469"
75,"(40.88889216900009, -73.84084130499991)",NYPL43,NYPL,Other,212-340-0903, , ,718-798-3355, ,Edenwald Branch,1255,East 233rd Street,Bronx,10466,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Edenwald Branch",1255 East 233rd Street,"Bronx, NY 10466"
76,"(40.85747314900004, -73.90928668999993)",NYPL45,NYPL,Other,212-340-0903, , ,718-295-5287, ,Francis Martin Regional Branch,2150,University Avenue,Bronx,10453,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Francis Martin Regional Branch",2150 University Avenue,"Bronx, NY 10453"
77,"(40.84401648700003, -73.91009294899993)",NYPL46,NYPL,Other,212-340-0903, , ,718-583-6611, ,Grand Concourse Branch,155,East 173rd Street,Bronx,10457,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Grand Concourse Branch",155 East 173rd Street,"Bronx, NY 10457"
